name,enabled,postOnly,priceIncrement,sizeIncrement,minProvideSize,last,bid,ask,price,type,futureType,baseCurrency,isEtfMarket,quoteCurrency,underlying,restricted,highLeverageFeeExempt,largeOrderThreshold,change1h,change24h,changeBod,quoteVolume24h,volumeUsd24h,priceHigh24h,priceLow24h,tokenizedEquity
1INCH-PERP,True,False,0.0001,1.0,1.0,0.5797,0.5799,0.58,0.5799,future,perpetual,,False,,1INCH,False,False,350.0,-0.0054879094494940835,-0.00565843621399177,-0.011758691206543968,3085668.3633,3085668.3633,0.5932,0.5773,
1INCH-0930,True,False,0.0001,1.0,1.0,0.5805,0.5765,0.5813,0.5805,future,future,,False,,1INCH,False,False,350.0,0.001725625539257981,0.003804253847484005,-0.007013342456380431,6184.7268,6184.7268,0.5895,0.5759,
1INCH-1230,True,False,0.0001,1.0,1.0,0.5619,0.5594,0.5639,0.5619,future,future,,False,,1INCH,False,False,350.0,-0.004429482636428065,-0.0033699893579283435,-0.006541725601131542,9383.8106,9383.8106,0.572,0.5611,
1INCH/USD,True,False,0.0001,1.0,1.0,0.58,0.5803,0.5808,0.5803,spot,,1INCH,False,USD,,False,True,280.0,-0.005995203836930456,-0.004631217838765009,-0.011750681198910082,1320366.657,1320366.657,0.5937,0.5775,
AAPL-0930,True,False,0.01,0.01,0.01,146.93,146.37,147.63,146.93,future,future,,False,,AAPL,True,False,350.0,0.0,-0.0050785482123510296,-0.020727805918421754,42103.7165,42103.7165,150.73,145.13,True
AAPL-1230,True,False,0.01,0.01,0.01,146.46,146.4,147.14,146.46,future,future,,False,,AAPL,True,False,350.0,0.0004098360655737705,-0.00698352430673266,-0.020334448160535118,95437.7523,95437.7523,150.61,145.0,True
AAPL/USD,True,False,0.01,0.01,0.01,146.58,146.81,146.82,146.81,spot,,AAPL,False,USD,,True,True,280.0,-6.811061163329247e-05,-0.006429344883595019,-0.018912055600106923,188235.2415,188235.2415,150.76,145.06,True
AAVE-PERP,True,False,0.01,0.01,0.01,75.51,75.52,75.54,75.52,future,perpetual,,False,,AAVE,False,False,1200.0,-0.011906319508046579,0.006933333333333333,-0.02100077780658543,9875010.9119,9875010.9119,77.72,74.64,
AAVE-0930,True,False,0.01,0.01,0.01,74.44,75.25,75.95,75.25,future,future,,False,,AAVE,False,False,1200.0,-0.01337354136619903,0.004941239316239316,-0.02247336970641725,0.0,0.0,77.57,74.49,
AAVE-1230,True,False,0.01,0.01,0.01,76.37,74.42,75.44,75.44,future,future,,False,,AAVE,False,False,1200.0,-0.010882391503867838,0.015479876160990712,-0.015914427341507956,577.6431,577.6431,76.98,74.29,
AAVE/USD,True,False,0.01,0.01,0.01,75.55,75.49,75.53,75.53,spot,,AAVE,False,USD,,False,True,960.0,-0.012034009156311315,0.006261657340794031,-0.02099805573558004,1003710.4368,1003710.4368,77.73,74.66,
AAVE/USDT,True,False,0.01,0.01,0.01,75.65,75.41,75.6,75.6,spot,,AAVE,False,USDT,,False,True,672.0,-0.011764705882352941,0.005854177754124534,-0.02034469353375664,78931.0258,78933.65657108992,77.75,74.68,
ABNB-0930,True,False,0.005,0.025,0.025,110.03,108.285,109.52,109.52,future,future,,False,,ABNB,True,False,350.0,-0.004635099518313188,0.025564191403689485,-0.0076564128120328,16240.247875,16240.247875,111.26,105.195,True
ABNB-1230,True,False,0.005,0.025,0.025,109.0,108.38,109.5,109.0,future,future,,False,,ABNB,True,False,350.0,0.0,0.014944829833791145,-0.013217454282093066,327.0,327.0,111.325,106.465,True
ABNB/USD,True,False,0.005,0.025,0.025,108.58,108.44,109.36,108.58,spot,,ABNB,False,USD,,True,True,280.0,-0.006314633476709069,0.019339091250469394,-0.017064228488661567,3043.436375,3043.436375,111.2,105.59,True
ACB-0930,True,False,0.001,0.1,0.1,1.302,1.278,1.293,1.293,future,future,,False,,ACB,True,False,350.0,-0.0069124423963133645,0.05896805896805897,-0.0069124423963133645,3029.3638,3029.3638,1.307,1.219,True
ACB-1230,True,False,0.001,0.1,0.1,1.29,1.232,1.3,1.29,future,future,,False,,ACB,True,False,350.0,0.0,0.06347897774113767,0.0,3355.2324,3355.2324,1.308,1.21,True
ACB/USD,True,False,0.001,0.1,0.1,1.292,1.282,1.293,1.292,spot,,ACB,False,USD,,True,True,280.0,0.0,0.07042253521126761,-0.00996168582375479,348.121,348.121,1.309,1.207,True
ADA-PERP,True,False,5e-06,1.0,1.0,0.431695,0.43159,0.431645,0.431645,future,perpetual,,False,,ADA,False,False,2500.0,-0.007997701809824762,-0.0027953933765348673,-0.013044472390533897,38262988.60421,38262988.60421,0.440575,0.42902,
ADA-0930,True,False,5e-06,1.0,1.0,0.431085,0.430495,0.431095,0.431085,future,future,,False,,ADA,False,False,2500.0,-0.007756844782543647,-0.0025798241554835723,-0.011544987618086765,671948.789025,671948.789025,0.43932,0.42898,
ADA-1230,True,False,5e-06,1.0,1.0,0.421205,0.4216,0.423815,0.4216,future,future,,False,,ADA,False,False,2500.0,-0.008618155738186778,-0.005249808293517372,-0.01295843234574549,22420.520355,22420.520355,0.431535,0.420205,
AGLD-PERP,True,False,0.0005,0.1,0.1,0.316,0.316,0.3165,0.316,future,perpetual,,False,,AGLD,False,False,350.0,-0.021671826625386997,0.0047694753577106515,-0.0031545741324921135,3466229.3962,3466229.3962,0.3255,0.3125,
AGLD/USD,True,False,0.0005,0.1,0.1,0.315,0.3135,0.3175,0.315,spot,,AGLD,False,USD,,False,True,280.0,-0.02476780185758514,0.001589825119236884,-0.006309148264984227,239073.72855,239073.72855,0.3245,0.312,
AKRO/USD,True,False,5e-06,1.0,1.0,0.003735,0.003735,0.00376,0.003735,spot,,AKRO,False,USD,,False,True,280.0,-0.048407643312101914,-0.03363518758085381,-0.05562579013906448,6114.07012,6114.07012,0.004105,0.003655,
AKRO/USDT,True,False,5e-06,1.0,1.0,0.00376,0.00375,0.00377,0.00376,spot,,AKRO,False,USDT,,False,True,196.0,-0.04568527918781726,-0.025906735751295335,-0.0493046776232617,5330.60576,5330.783429089981,0.0041,0.00365,
ALCX-PERP,True,False,0.1,0.001,0.001,20.4,20.4,20.5,20.4,future,perpetual,,False,,ALCX,False,False,350.0,-0.019230769230769232,0.030303030303030304,-0.009708737864077669,543606.4173,543606.4173,22.2,19.8,
ALCX/USD,True,False,0.1,0.001,0.001,20.6,20.4,20.5,20.5,spot,,ALCX,False,USD,,False,True,280.0,-0.014423076923076924,0.025,-0.0048543689320388345,23597.6972,23597.6972,22.2,19.7,
ALEPH/USD,True,False,5e-05,1.0,1.0,0.11755,0.11835,0.1187,0.11835,spot,,ALEPH,False,USD,,False,True,280.0,0.0025412960609911056,0.011538461538461539,-0.007130872483221477,47071.18905,47071.18905,0.1209,0.11595,
ALGO-PERP,True,False,0.0001,1.0,1.0,0.3398,0.3399,0.34,0.3399,future,perpetual,,False,,ALGO,False,False,1200.0,-0.015353418308227115,-0.0002941176470588235,-0.031071835803876853,26027706.9273,26027706.9273,0.3642,0.3373,
ALGO-0930,True,False,0.0001,1.0,1.0,0.34,0.3396,0.3411,0.34,future,future,,False,,ALGO,False,False,1200.0,-0.013921113689095127,-0.0014684287812041115,-0.028848900314195944,1876.8739,1876.8739,0.3637,0.3373,
ALGO-1230,True,False,0.0001,1.0,1.0,0.3404,0.3399,0.3417,0.3404,future,future,,False,,ALGO,False,False,1200.0,-0.018171329679838477,-0.0020521841102316037,-0.03185437997724687,52541.0817,52541.0817,0.3642,0.3389,
ALGO/USD,True,False,0.0001,1.0,1.0,0.3403,0.3396,0.3402,0.3402,spot,,ALGO,False,USD,,False,True,960.0,-0.014198782961460446,0.0,-0.02966343411294923,577728.1851,577728.1851,0.364,0.3374,
ALGO/USDT,True,False,0.0001,1.0,1.0,0.3406,0.3398,0.3404,0.3404,spot,,ALGO,False,USDT,,False,True,672.0,-0.013619240799768183,0.0017657445556209534,-0.029092983456930975,53045.769,53047.53701548077,0.3637,0.3374,
ALICE-PERP,True,False,0.0025,0.1,0.1,1.67,1.67,1.6725,1.67,future,perpetual,,False,,ALICE,False,False,350.0,-0.020527859237536656,0.015197568389057751,-0.01908957415565345,1361786.23725,1361786.23725,1.7225,1.64,
ALICE/USD,True,False,0.0025,0.1,0.1,1.685,1.6675,1.675,1.675,spot,,ALICE,False,USD,,False,True,280.0,-0.01903367496339678,0.0182370820668693,-0.01903367496339678,4566.605,4566.605,1.7225,1.6425,
ALPHA-PERP,True,False,5e-05,1.0,1.0,0.10785,0.10785,0.10795,0.10785,future,perpetual,,False,,ALPHA,False,False,350.0,-0.011004126547455296,0.016973125884016973,-0.03273542600896861,1600617.3791,1600617.3791,0.1134,0.1055,
ALPHA/USD,True,False,5e-05,1.0,1.0,0.10775,0.10775,0.10795,0.10775,spot,,ALPHA,False,USD,,False,True,280.0,-0.013729977116704805,0.015551366635249765,-0.032330489447687474,262150.53685,262150.53685,0.1133,0.10545,
ALT-PERP,True,False,0.05,0.001,0.001,1839.35,1839.2,1840.5,1839.35,future,perpetual,,False,,ALT,False,False,600.0,-0.010277381689041944,0.009965956512189764,-0.014229058363256337,3333047.3473,3333047.3473,1873.95,1814.7,
ALT-0930,True,False,0.05,0.001,0.001,1856.55,1831.55,1844.4,1844.4,future,future,,False,,ALT,False,False,600.0,-0.006544396865153106,0.013824378177820531,-0.010939510939510939,185001.6826,185001.6826,1870.55,1815.0,
ALT-1230,True,False,0.05,0.001,0.001,1802.95,1801.15,1811.75,1802.95,future,future,,False,,ALT,False,False,600.0,-0.014027124576178497,0.009264442454097627,-0.015776400906187735,132416.45175,132416.45175,1844.65,1777.55,
AMC-0930,True,False,0.0025,0.1,0.1,13.92,13.41,13.7325,13.7325,future,future,,False,,AMC,True,False,350.0,-0.0007276696379843551,0.03135561396920766,0.013281682346430549,759.8035,759.8035,13.955,13.11,True
AMC-1230,True,False,0.0025,0.1,0.1,7.66,7.45,7.525,7.525,future,future,,False,,AMC,True,False,350.0,-0.0013271400132714001,0.0155195681511471,-0.013761467889908258,1676.7,1676.7,7.7175,7.195,True
AMC/USD,True,False,0.0025,0.1,0.1,7.5575,7.4525,7.5225,7.5225,spot,,AMC,False,USD,,True,True,280.0,-0.00099601593625498,0.013472549680026945,-0.011498028909329829,7238.455,7238.455,7.7725,7.2,True
AMD-0930,True,False,0.01,0.01,0.01,67.45,67.17,67.73,67.45,future,future,,False,,AMD,True,False,350.0,-0.0032510713757942958,0.00807054251980272,-0.011866393202461177,6118.7374,6118.7374,68.88,66.42,True
AMD-1230,True,False,0.01,0.01,0.01,68.07,67.23,67.82,67.82,future,future,,False,,AMD,True,False,350.0,-0.0025003677011325195,0.012843488649940263,-0.004550124761485396,6964.5806,6964.5806,68.91,66.24,True
AMD/USD,True,False,0.01,0.01,0.01,67.69,67.3,67.62,67.62,spot,,AMD,False,USD,,True,True,280.0,-0.0011816838995568684,0.008350730688935281,-0.00864975809998534,888.9763,888.9763,68.84,66.55,True
AMPL-PERP,True,False,0.0001,10.0,10.0,1.1384,1.1383,1.1384,1.1384,future,perpetual,,False,,AMPL,False,False,350.0,0.002112676056338028,0.024109391867578267,-0.006024622369684799,107217.227,107217.227,1.1558,1.1067,
AMPL/USD,True,False,0.0001,1.0,1.0,1.1414,1.1414,1.1518,1.1414,spot,,AMPL,False,USD,,False,True,280.0,-0.0022727272727272726,0.03051643192488263,-0.007305618368411898,37630.1172,37630.1172,1.18,1.1073,
AMPL/USDT,True,False,0.0001,1.0,1.0,1.1514,1.1454,1.1459,1.1459,spot,,AMPL,False,USDT,,False,True,196.0,0.0005238802060595477,0.03336639913427721,-0.004776793468820566,34436.5933,34437.74107165469,1.1669,1.1089,
AMZN-0930,True,False,0.1,0.001,0.001,115.0,115.1,116.3,115.1,future,future,,False,,AMZN,True,False,350.0,-0.00946643717728055,0.00699912510936133,-0.017079419299743808,0.0,0.0,118.2,113.7,True
AMZN-1230,True,False,0.1,0.001,0.001,115.1,115.1,116.1,115.1,future,future,,False,,AMZN,True,False,350.0,-0.010318142734307825,0.012313104661389622,-0.013710368466152529,30627.6961,30627.6961,118.2,112.7,True
AMZN/USD,True,False,0.1,0.001,0.001,115.8,115.6,115.9,115.8,spot,,AMZN,False,USD,,True,True,280.0,-0.004299226139294927,0.014899211218229623,-0.01446808510638298,42985.7367,42985.7367,118.2,113.7,True
APE-PERP,True,False,0.0005,0.1,0.1,5.3555,5.356,5.3565,5.356,future,perpetual,,False,,APE,False,False,350.0,-0.008056301509399018,0.006861547137888899,-0.006123585080719985,18652529.48785,18652529.48785,5.454,5.2935,
APE-0930,True,False,0.0005,0.1,0.1,5.3885,5.3455,5.363,5.363,future,future,,False,,APE,False,False,350.0,-0.0074951420375682426,0.00666353824495542,-0.004916968178866314,1953.9157,1953.9157,5.4415,5.297,
APE-1230,True,False,0.0005,0.1,0.1,5.2435,5.211,5.251,5.2435,future,future,,False,,APE,False,False,350.0,-0.0038943768996960487,0.005079547632739122,-0.003988982809383607,1026.6028,1026.6028,5.317,5.182,
APE/USD,True,False,0.0005,0.1,0.1,5.3515,5.355,5.358,5.355,spot,,APE,False,USD,,False,True,280.0,-0.008333333333333333,0.0062006764374295375,-0.006309148264984227,2103646.08085,2103646.08085,5.453,5.292,
APEAMC/USD,True,False,0.0025,0.1,0.1,3.3225,3.295,3.3425,3.3225,spot,,APEAMC,False,USD,,True,True,280.0,0.0,-0.027798098024871983,-0.006726457399103139,210.1125,210.1125,3.4675,3.2275,True
APHA/USD,True,False,0.001,0.1,0.1,2.515,2.482,2.491,2.491,spot,,APHA,False,USD,,True,True,280.0,-0.006778309409888357,0.05061155630535639,-0.011507936507936509,182.589,182.589,2.538,2.365,True
AR-PERP,True,False,0.001,0.1,0.1,9.07,9.068,9.073,9.07,future,perpetual,,False,,AR,False,False,350.0,-0.011874931909794096,-0.013165052769013166,-0.027971278533919196,1729217.3632,1729217.3632,9.446,9.029,
ARKK-0930,True,False,0.01,0.01,0.01,39.79,39.12,39.52,39.52,future,future,,False,,ARKK,True,False,350.0,-0.0030272452068617556,0.01934485426876451,-0.01150575287643822,12065.5489,12065.5489,40.36,38.43,True
ARKK-1230,True,False,0.01,0.01,0.01,39.44,39.17,39.38,39.38,future,future,,False,,ARKK,True,False,350.0,-0.0015212981744421906,0.024187256176853057,-0.012537612838515547,90587.7664,90587.7664,40.39,37.81,True
ARKK/USD,True,False,0.01,0.01,0.01,39.2,39.2,39.37,39.2,spot,,ARKK,False,USD,,True,True,280.0,-0.008849557522123894,0.016333938294010888,-0.02171200399301223,17733.2884,17733.2884,40.35,38.32,True
ASD-PERP,True,False,1e-05,0.1,0.1,0.10587,0.10577,0.10586,0.10586,future,perpetual,,False,,ASD,False,False,350.0,-0.00018889308651303362,-0.015438988095238096,-0.038510445049954586,193303.765722,193303.765722,0.111,0.10561,
ASD/USD,True,False,1e-05,0.1,0.1,0.10601,0.10604,0.10631,0.10604,spot,,ASD,False,USD,,False,True,280.0,-0.002070393374741201,-0.013030528667163067,-0.033099297893681046,43197.833905,43197.833905,0.11122,0.106,
ATLAS-PERP,True,False,2.5e-07,10.0,10.0,0.00439725,0.00438425,0.0043975,0.00439725,future,perpetual,,False,,ATLAS,False,False,350.0,-0.012962962962962963,-0.00570944036178632,-0.01934656556645852,247237.1737725,247237.1737725,0.0045725,0.0043695,
ATLAS/USD,True,False,2.5e-07,10.0,10.0,0.004396,0.00439575,0.00440625,0.004396,spot,,ATLAS,False,USD,,False,True,280.0,-0.015398398566549079,-0.006497542234024521,-0.020717308977500556,164209.2658625,164209.2658625,0.00457775,0.0043855,
ATOM-PERP,True,False,0.0005,0.01,0.01,12.7455,12.746,12.7525,12.746,future,perpetual,,False,,ATOM,False,False,2500.0,-0.014192350825631308,-0.0160188366078666,-0.015296662546353522,118455909.251285,118455909.251285,13.32,12.6475,
ATOM-0930,True,False,0.0005,0.01,0.01,12.75,12.73,12.787,12.75,future,future,,False,,ATOM,False,False,2500.0,-0.018022181146025877,-0.016165747135306146,-0.014226070821091697,9390.423385,9390.423385,13.2735,12.698,
ATOM-1230,True,False,0.0005,0.01,0.01,12.35,12.3415,12.4485,12.35,future,future,,False,,ATOM,False,False,2500.0,-0.019335371421765196,-0.022943037974683545,-0.017345639719923617,367135.490075,367135.490075,12.9215,12.315,
ATOM/USD,True,False,0.0025,0.1,0.1,12.76,12.755,12.7625,12.76,spot,,ATOM,False,USD,,False,True,2000.0,-0.014481560146746475,-0.01562198649951784,-0.01600154231733179,8055887.60625,8055887.60625,13.3175,12.665,
ATOM/USDT,True,False,0.0025,0.1,0.1,12.72,12.7475,12.77,12.7475,spot,,ATOM,False,USDT,,False,True,1400.0,-0.01563706563706564,-0.017533718689788053,-0.016586306653809064,450732.3745,450747.39741004206,13.32,12.6675,
AUDIO-PERP,True,False,0.0005,0.1,0.1,0.2095,0.2095,0.21,0.2095,future,perpetual,,False,,AUDIO,False,False,350.0,-0.01411764705882353,-0.002380952380952381,-0.023310023310023312,717541.14565,717541.14565,0.217,0.209,
AUDIO/USD,True,False,5e-05,1.0,1.0,0.21035,0.2095,0.2101,0.2101,spot,,AUDIO,False,USD,,False,True,280.0,-0.013151714419915453,0.0,-0.020741085993940808,28734.5021,28734.5021,0.21665,0.209,
AUDIO/USDT,True,False,5e-05,1.0,1.0,0.2125,0.2096,0.2102,0.2102,spot,,AUDIO,False,USDT,,False,True,196.0,-0.012913829537450105,0.003101884991648771,-0.018903150525087516,9892.411,9892.74071405863,0.21665,0.2092,
AURY/USD,True,False,0.00025,1.0,1.0,1.31625,1.3145,1.31725,1.31625,spot,,AURY,False,USD,,False,True,280.0,0.0,-0.0045377197958026095,-0.005290005667863216,6524.53725,6524.53725,1.32575,1.3145,
AVAX-PERP,True,False,0.001,0.1,0.1,17.063,17.062,17.064,17.063,future,perpetual,,False,,AVAX,False,False,2500.0,-0.008714343809911113,0.0013497652582159625,-0.013357233722678385,30026446.8433,30026446.8433,17.454,16.971,
AVAX-0930,True,False,0.001,0.1,0.1,17.048,17.05,17.064,17.05,future,future,,False,,AVAX,False,False,2500.0,-0.009296920395119116,0.0019392372333548805,-0.012796016443749638,271176.9481,271176.9481,17.413,16.966,
AVAX-1230,True,False,0.001,0.1,0.1,16.7,16.65,16.925,16.7,future,future,,False,,AVAX,False,False,2500.0,-0.006425511661113755,0.0060847038978251704,-0.031603363293708324,41007.5014,41007.5014,17.954,16.1,
AVAX/BTC,True,False,1e-07,0.1,0.1,0.0008888,0.0008874,0.0008898,0.0008888,spot,,AVAX,False,BTC,,False,True,1200.0,0.0053161407080646985,-0.006372275013974287,-0.0014605100550499944,2.67319668,51305.9421161364,0.000896,0.0008792,
AVAX/JPY,True,False,0.05,0.1,0.1,2483.0,2465.1,2475.1,2475.1,spot,,AVAX,False,JPY,,False,True,1400.0,-0.004464644839514118,0.007038815200585889,-0.008810219855031836,161188.09,1112.197821,2505.4,2457.35,
AVAX/USD,True,False,0.0005,0.1,0.1,17.07,17.064,17.069,17.069,spot,,AVAX,False,USD,,False,True,2000.0,-0.008682521706304265,0.0017606667057925936,-0.01338111615271235,6079426.64365,6079426.64365,17.4475,16.978,
AVAX/USDT,True,False,0.0005,0.1,0.1,17.0505,17.0595,17.0695,17.0595,spot,,AVAX,False,USDT,,False,True,1400.0,-0.009636875562392963,0.0006745659314875645,-0.013616652211621855,233425.83215,233433.61223298556,17.441,16.9855,
AXS-PERP,True,False,0.001,0.1,0.1,12.309,12.309,12.31,12.309,future,perpetual,,False,,AXS,False,False,1200.0,-0.011960186225718414,0.0057194215213661245,-0.01959378733572282,12584225.8349,12584225.8349,12.635,12.189,
AXS-0930,True,False,0.001,0.1,0.1,12.361,12.218,12.263,12.263,future,future,,False,,AXS,False,False,1200.0,-0.012561397858120622,0.007310662066699523,-0.0231798629918751,32854.1993,32854.1993,12.602,12.084,
AXS-1230,True,False,0.001,0.1,0.1,10.673,10.51,10.577,10.577,future,future,,False,,AXS,False,False,1200.0,-0.01333955223880597,0.023910939012584703,-0.003485961937064255,24986.1711,24986.1711,10.749,10.32,
AXS/USD,True,False,0.001,0.1,0.1,12.314,12.306,12.326,12.314,spot,,AXS,False,USD,,False,True,960.0,-0.0123516201475778,0.004650403850860733,-0.020599697765052095,659250.8315,659250.8315,12.648,12.204,
BABA-0930,True,False,0.05,0.005,0.005,81.0,78.1,79.45,79.45,future,future,,False,,BABA,True,False,350.0,-0.0006289308176100629,0.04060248853962017,-0.019135802469135803,6720.385,6720.385,81.05,75.3,True
BABA-1230,True,False,0.05,0.005,0.005,79.3,78.25,79.45,79.3,future,future,,False,,BABA,True,False,350.0,0.0,0.029201817001946788,-0.025798525798525797,38445.41925,38445.41925,81.6,77.05,True
BABA/USD,True,False,0.05,0.005,0.005,79.25,78.15,79.15,79.15,spot,,BABA,False,USD,,True,True,280.0,-0.0012618296529968455,0.03599476439790576,-0.02042079207920792,22060.52125,22060.52125,81.1,76.4,True
BADGER-PERP,True,False,0.005,0.01,0.01,3.455,3.45,3.46,3.455,future,perpetual,,False,,BADGER,False,False,350.0,-0.01002865329512894,0.005822416302765648,-0.01002865329512894,402169.6696,402169.6696,3.53,3.415,
BADGER/USD,True,False,0.005,0.01,0.01,3.465,3.45,3.465,3.465,spot,,BADGER,False,USD,,False,True,280.0,-0.01,0.005805515239477504,-0.0071633237822349575,4941.4568,4941.4568,3.54,3.41,
BAL-PERP,True,False,0.0025,0.01,0.01,5.2475,5.25,5.2525,5.25,future,perpetual,,False,,BAL,False,False,350.0,-0.011764705882352941,0.010101010101010102,-0.02280130293159609,873196.1705,873196.1705,5.3975,5.175,
BAL-0930,True,False,0.0025,0.01,0.01,5.2575,5.155,5.245,5.245,future,future,,False,,BAL,False,False,350.0,-0.0023775558725630053,0.029945999018163968,-0.004271476032273375,3215.055975,3215.055975,5.2725,5.085,
BAL-1230,True,False,0.0025,0.01,0.01,5.0425,4.9375,5.1525,5.0425,future,future,,False,,BAL,False,False,350.0,0.0,0.031186094069529654,-0.0014851485148514852,231.989575,231.989575,5.05,4.89,
BAL/USD,True,False,0.0025,0.01,0.01,5.265,5.24,5.26,5.26,spot,,BAL,False,USD,,False,True,280.0,-0.011742602160638797,0.00862895493767977,-0.02275894101254064,8203.72955,8203.72955,5.405,5.16,
BAL/USDT,True,False,0.0025,0.01,0.01,5.2575,5.235,5.2575,5.2575,spot,,BAL,False,USDT,,False,True,196.0,-0.008953817153628653,0.01203079884504331,-0.022315202231520222,3454.884375,3454.999526296219,5.385,5.195,
BAND-PERP,True,False,0.001,0.1,0.1,1.191,1.193,1.194,1.193,future,perpetual,,False,,BAND,False,False,350.0,-0.005833333333333334,-0.005833333333333334,-0.024529844644317254,1220709.3624,1220709.3624,1.265,1.185,
BAND/USD,True,False,0.001,0.1,0.1,1.188,1.192,1.195,1.192,spot,,BAND,False,USD,,False,True,280.0,-0.008319467554076539,-0.005008347245409015,-0.024549918166939442,68227.7968,68227.7968,1.263,1.186,
BAO/USD,True,False,2.5e-07,1000.0,1000.0,0.000112,0.000112,0.0001125,0.000112,spot,,BAO,False,USD,,False,True,280.0,-0.0022271714922048997,-0.011037527593818985,-0.0022271714922048997,2624.48875,2624.48875,0.00011525,0.000112,
BAR/USD,True,False,0.0025,0.1,0.1,6.015,5.9525,6.025,6.015,spot,,BAR,False,USD,,False,True,280.0,0.0,0.010499790004199917,0.005432511491851233,2092.60325,2092.60325,6.1425,5.9,
BAT-PERP,True,False,2.5e-05,1.0,1.0,0.297675,0.2977,0.297875,0.2977,future,perpetual,,False,,BAT,False,False,350.0,-0.009894404257088218,0.007871349978840456,-0.01611170784103115,836502.165125,836502.165125,0.304375,0.294,
BAT/JPY,True,False,0.0025,1.0,1.0,43.05,42.8875,43.185,43.05,spot,,BAT,False,JPY,,False,True,196.0,-0.0045667379617318924,0.0077836952068824255,-0.005658852061438965,1333.4025,9.20047725,43.8425,42.495,
BAT/USD,True,False,2.5e-05,1.0,1.0,0.297475,0.297325,0.2983,0.297475,spot,,BAT,False,USD,,False,True,280.0,-0.010971656553902418,0.006768762162619511,-0.016611570247933884,4118.3308,4118.3308,0.3042,0.294325,
BB-0930,True,False,0.0025,0.1,0.1,4.945,4.935,4.9925,4.945,future,future,,False,,BB,True,False,350.0,-0.005030181086519115,-0.011,0.0,12011.3415,12011.3415,5.12,4.8575,True
BB-1230,True,False,0.0025,0.1,0.1,,4.94,4.9925,4.96625,future,future,,False,,BB,True,False,350.0,-0.0069982504373906525,-0.0045101478326234025,-0.00625312656328164,0.0,0.0,5.145,4.83,True
BB/USD,True,False,0.0025,0.1,0.1,4.935,4.93,4.975,4.935,spot,,BB,False,USD,,True,True,280.0,-0.006042296072507553,-0.013,-0.0020222446916076846,412.0725,412.0725,5.1,4.845,True
BCH-PERP,True,False,0.05,0.001,0.001,115.5,115.55,115.6,115.55,future,perpetual,,False,,BCH,False,False,900.0,-0.012393162393162393,0.02665482007996446,0.011378555798687089,15058545.67885,15058545.67885,117.95,112.1,
BCH-0930,True,False,0.05,0.001,0.001,115.5,115.3,115.6,115.5,future,future,,False,,BCH,False,False,900.0,-0.012398460880718255,0.028495102404274265,0.013157894736842105,1837956.3023,1837956.3023,117.75,111.95,
BCH-1230,True,False,0.05,0.001,0.001,112.5,112.5,113.1,112.5,future,future,,False,,BCH,False,False,900.0,-0.01445466491458607,0.030691708657810353,0.009874326750448833,141587.32625,141587.32625,114.9,108.7,
BCH/BTC,True,False,1e-06,0.001,0.001,0.006021,0.006018,0.006032,0.006021,spot,,BCH,False,BTC,,False,True,432.0,0.0024975024975024975,0.018609372356623244,0.024851063829787235,1.499509496,28779.68088916408,0.006061,0.005795,
BCH/JPY,True,False,0.01,0.001,0.001,16733.66,16733.66,16758.39,16733.66,spot,,BCH,False,JPY,,False,True,504.0,-0.011869732330184173,0.029393110787808697,0.013027235573270405,2470239.51775,17044.652672475,17057.98,16168.95,
BCH/USD,True,False,0.025,0.001,0.001,115.65,115.55,115.65,115.65,spot,,BCH,False,USD,,False,True,720.0,-0.012382578992314262,0.02708703374777975,0.01225382932166302,3051874.92505,3051874.92505,118.0,112.15,
BCH/USDT,True,False,0.025,0.001,0.001,115.6,115.6,115.675,115.6,spot,,BCH,False,USDT,,False,True,504.0,-0.011965811965811967,0.026870974905618475,0.012037644998905668,908360.2037,908390.4793455893,117.975,112.225,
BICO/USD,True,False,0.0001,1.0,1.0,0.4213,0.4205,0.4223,0.4213,spot,,BICO,False,USD,,False,True,280.0,-0.017261488220200606,0.011039116870650349,0.003334127173136461,9289.88,9289.88,0.4302,0.4081,
BILI-0930,True,False,0.005,0.05,0.05,16.27,15.77,15.93,15.93,future,future,,False,,BILI,True,False,350.0,-0.004375,0.008866371120962635,-0.02089735709895513,14029.66725,14029.66725,16.3,15.53,True
BILI-1230,True,False,0.005,0.05,0.05,15.66,15.8,15.96,15.8,future,future,,False,,BILI,True,False,350.0,-0.0025252525252525255,0.0006333122229259025,-0.036585365853658534,19.227,19.227,16.4,15.58,True
BILI/USD,True,False,0.005,0.05,0.05,15.72,15.715,15.985,15.72,spot,,BILI,False,USD,,True,True,280.0,-0.006006955422067657,-0.0009532888465204957,-0.02360248447204969,495.78125,495.78125,16.245,15.61,True
BIT-PERP,True,False,0.00025,1.0,1.0,0.4735,0.47275,0.4735,0.4735,future,perpetual,,False,,BIT,False,False,350.0,-0.007337526205450734,-0.009414225941422594,-0.011482254697286013,808896.607,808896.607,0.4845,0.4605,
BIT/USD,True,False,0.00025,1.0,1.0,0.473,0.47225,0.473,0.473,spot,,BIT,False,USD,,False,True,280.0,-0.0063025210084033615,-0.011494252873563218,-0.011494252873563218,333856.1155,333856.1155,0.48325,0.457,
