name,enabled,postOnly,priceIncrement,sizeIncrement,minProvideSize,last,bid,ask,price,type,futureType,baseCurrency,isEtfMarket,quoteCurrency,underlying,restricted,highLeverageFeeExempt,largeOrderThreshold,change1h,change24h,changeBod,quoteVolume24h,volumeUsd24h,priceHigh24h,priceLow24h,tokenizedEquity
HOLY-PERP,True,False,0.0001,1.0,1.0,5.7623,5.7622,5.7921,5.7623,future,perpetual,,False,,HOLY,False,False,350.0,-0.014705127985910435,0.012706502636203867,-0.00541967999723838,114299.7856,114299.7856,6.045,5.6331,
HOLY/USD,True,False,0.0001,1.0,1.0,5.8051,5.749,5.7809,5.7809,spot,,HOLY,False,USD,,False,True,280.0,-0.014641712688347993,0.017782003204281766,-0.009712895710565985,26914.8585,26914.8585,6.0446,5.662,
HOOD/USD,True,False,0.005,0.01,0.01,9.76,9.85,9.955,9.85,spot,,HOOD,False,USD,,True,True,280.0,0.0005078720162519045,0.030334728033472803,-0.02330193356470005,890.3773,890.3773,10.17,9.56,True
HOT-PERP,True,False,1e-06,100.0,100.0,0.002013,0.002013,0.002014,0.002013,future,perpetual,,False,,HOT,False,False,350.0,-0.008862629246676515,0.005494505494505495,-0.008374384236453201,382514.3053,382514.3053,0.002047,0.001997,
HT-PERP,True,False,0.0005,0.01,0.01,4.4305,4.4305,4.4325,4.4305,future,perpetual,,False,,HT,False,False,350.0,-0.0011272686281140797,0.007848043676069155,0.001922207146087743,663503.96561,663503.96561,4.4545,4.394,
HT/USD,True,False,0.0005,0.1,0.1,4.434,4.4305,4.434,4.434,spot,,HT,False,USD,,False,True,280.0,-0.0005635072692437732,0.008644222020018199,0.002940511196561864,55532.0867,55532.0867,4.448,4.388,
HUM/USD,True,False,2.5e-05,10.0,10.0,0.1302,0.1293,0.131225,0.1302,spot,,HUM,False,USD,,False,True,280.0,-0.0030627871362940277,0.003661591828868761,-0.007811011621261192,286.44,286.44,0.13215,0.129725,
HXRO/USD,True,False,5e-05,1.0,1.0,0.17955,0.1788,0.17955,0.17955,spot,,HXRO,False,USD,,False,True,280.0,0.0005572582892170521,-0.11703958691910499,-0.11963716597205197,216520.7972,216520.7972,0.2076,0.1773,
HXRO/USDT,True,False,5e-05,1.0,1.0,0.17835,0.1789,0.17935,0.1789,spot,,HXRO,False,USDT,,False,True,196.0,-0.0030649205906937865,-0.11958661417322834,-0.11850209411185021,33753.50785,33754.63285441664,0.2073,0.17695,
ICP-PERP,True,False,0.01,0.01,0.01,5.96,5.96,5.97,5.96,future,perpetual,,False,,ICP,False,False,600.0,-0.006666666666666667,-0.006666666666666667,-0.0165016501650165,2248844.7169,2248844.7169,6.11,5.92,
